machine_id,machine_type,air_temperature,process_temperature,rotational_speed,torque,tool_wear,failure_binary,failure_type,sensor_aux_001,sensor_aux_002,sensor_aux_003,sensor_aux_004,sensor_aux_005,sensor_aux_006,sensor_aux_007,sensor_aux_008,sensor_aux_009,sensor_aux_010,sensor_aux_011,sensor_aux_012,sensor_aux_013,sensor_aux_014,sensor_aux_015,sensor_aux_016,sensor_aux_017,sensor_aux_018,sensor_aux_019,sensor_aux_020,sensor_aux_021,sensor_aux_022,sensor_aux_023,sensor_aux_024,sensor_aux_025,sensor_aux_026,sensor_aux_027,sensor_aux_028,sensor_aux_029,sensor_aux_030,sensor_aux_031,sensor_aux_032,sensor_aux_033,sensor_aux_034,sensor_aux_035,sensor_aux_036,sensor_aux_037,sensor_aux_038,sensor_aux_039,sensor_aux_040,sensor_aux_041,sensor_aux_042,sensor_aux_043,sensor_aux_044,sensor_aux_045,sensor_aux_046,sensor_aux_047,sensor_aux_048,sensor_aux_049,sensor_aux_050,sensor_aux_051,sensor_aux_052,sensor_aux_053,sensor_aux_054,sensor_aux_055,sensor_aux_056,sensor_aux_057,sensor_aux_058,sensor_aux_059,sensor_aux_060,sensor_aux_061,sensor_aux_062,sensor_aux_063,sensor_aux_064,sensor_aux_065,sensor_aux_066,sensor_aux_067,sensor_aux_068,sensor_aux_069,sensor_aux_070,sensor_aux_071,sensor_aux_072,sensor_aux_073,sensor_aux_074,sensor_aux_075,sensor_aux_076,sensor_aux_077,sensor_aux_078,sensor_aux_079,sensor_aux_080,sensor_aux_081,sensor_aux_082,sensor_aux_083,sensor_aux_084,sensor_aux_085,sensor_aux_086,sensor_aux_087,sensor_aux_088,sensor_aux_089,sensor_aux_090,sensor_aux_091,sensor_aux_092,sensor_aux_093,sensor_aux_094,sensor_aux_095,sensor_aux_096,sensor_aux_097,sensor_aux_098,sensor_aux_099,sensor_aux_100,sensor_aux_101,sensor_aux_102
MCH-011,L,300.32,311.17,1659,50.24,199,0,no_failure,50.596,31.514,45.57,58.475,46.582,58.281,59.114,55.33,72.66,62.158,76.47,65.338,50.705,61.959,53.47,74.382,53.756,43.409,63.174,45.13,38.125,43.448,54.594,61.306,61.694,69.817,55.374,64.997,37.57,64.61,64.741,59.34,72.236,53.173,55.838,41.76,55.689,56.511,71.576,57.037,56.078,49.48,56.752,48.848,74.986,51.985,70.546,39.255,52.249,71.589,54.164,56.892,58.485,60.95,58,53.59,62.872,10.893,59.721,56.418,66.582,58.883,59.387,46.303,63.543,61.784,64.952,36.457,49.314,50.597,56.246,43.685,36.556,34.957,61.606,80.264,63.145,62.488,58.643,51.156,63.3,48.948,70.136,81.299,50.607,50.605,56.215,60.494,42.459,53.403,58.996,67.003,61.691,56.817,53.134,63.261,59.295,58.702,52.369,56.554,63.894,43
MCH-012,M,297.63,307.83,1630,49.39,80,0,no_failure,36.724,25.351,60.315,31.043,64.293,56.14,65.479,59.762,46.547,69.303,61.424,57.619,64.27,69.871,61.798,77.307,43.749,46.115,62.693,60.424,61.599,56.893,57.472,70.411,51.489,50.979,71.589,79.725,84.645,64.526,63.625,49.586,63.456,60.794,39.858,48.581,55.538,53.034,47.368,57.56,48.605,66.985,45.46,50.035,64.839,60.72,54.409,59.432,51.988,87.297,54.697,46.854,61.177,43.876,48.972,62.888,57.596,45.264,56.767,65.008,80.386,47.754,43.456,62.21,71.898,55.826,71.481,29.125,38.977,67.196,50.746,43.179,60.955,60.961,55.301,65.239,56.306,74.303,53.596,64.14,59.236,63.468,82.648,55.459,43.472,54.289,53.753,58.932,73.071,54.747,58.404,71.758,63.607,52.673,62.246,62.317,65.847,66.527,55.553,59.728,40.276,56.667
MCH-013,L,295.85,307.16,1222,35.61,189,0,no_failure,55.282,48.828,63.767,44.098,40.897,35.356,53.421,56.314,62.611,58.93,65.682,58.979,54.988,71.892,58.724,46.501,48.375,41.641,52.284,61.448,41.319,63.878,51.382,51.173,68.947,60.111,52.538,70.787,71.848,57.561,58.03,69.863,78.329,64.523,54.514,52.788,51.265,51.685,64.152,56.868,42.058,56.685,65.348,53.126,52.327,49.028,73.943,73.394,48.86,67.698,33.826,45.972,67.696,41.085,49.731,57.244,50.054,53.538,57.053,63.739,54.494,63.128,42.029,70.385,70.89,60.288,77.436,44.317,30.781,46.252,48.941,53.673,61.333,54.82,42.223,69.965,62.795,67.092,72.701,69.042,58.912,69.919,76.789,65.5,47.371,51.666,37.223,35.243,58.758,58.848,41.642,47.316,64.807,61.78,66.032,58.952,71.036,67.523,42.819,64.571,83.134,30.962
MCH-014,L,298.18,312.85,1266,63.87,250,1,overstrain_failure,53.903,46.811,57.837,56.105,78.413,58.793,57.043,64.363,69.288,68.308,60.853,62.475,64.487,85.336,66.349,74.648,65.21,53.242,54.239,60.76,63.081,65.879,57.656,64.486,68.692,69.597,69.055,41.746,65.018,67.812,75.449,68.729,45.437,74.054,59.231,74.766,58.474,61.386,43.883,68.182,53.238,58.119,53.918,78.013,66.27,72.067,83.257,69.339,86.599,73.768,49.212,65.403,72.18,50.876,76.648,54.148,60.027,54.316,59.632,63.303,67.691,87.816,64.853,41.063,76.943,51.782,70.2,67.705,61.084,52.749,66.744,72.023,55.015,71.308,68.399,72.762,51.54,51.178,69.901,67.13,66.717,66.142,65.819,60.949,59.812,58.229,57.546,89.929,60.199,46.637,63.12,70.827,47.893,50.916,64.146,44.15,66.52,70.233,64.73,76.233,68.888,48.055
MCH-015,L,300.24,310.6,1465,57.85,115,0,no_failure,40.024,47.036,72.273,30.395,60.138,47.904,65.535,66.451,55.106,57.972,64.057,52.268,61.549,43.966,61.096,72.776,52.201,48.757,39.598,52.221,48.571,77.26,62.986,67.532,60.692,70.358,70.58,57.961,102.467,78.536,70.223,81.325,61.916,56.736,58.673,51.647,41.895,50.709,72.718,53.905,50.828,51.797,54.345,47.646,54.864,52.291,63.258,88.973,68.691,68.551,43.355,60.702,36.956,61.897,44.003,48.501,60.846,62.823,71.835,55.311,53.555,65.318,56.707,57.256,72.489,84.298,76.755,57.008,71.794,36.657,53.915,52.822,58.896,49.944,67.142,60.919,35.418,72.059,54.186,64.377,61.178,51.379,47.802,73.285,56.699,45.171,55.471,77.748,38.559,72.654,49.276,62.228,58.686,66.404,69.439,66.164,65.099,44.915,72.399,66.646,62.689,42.633
MCH-016,H,297.6,308.88,1613,68.62,134,1,power_failure,64.973,74.005,62.826,46.742,59.79,53.781,56.657,85.489,48.056,64.189,73.827,82.514,70.823,71.768,81.268,44.534,55.79,56.463,75.396,50.367,57.837,77.962,65.571,63.29,45.96,76.05,84.19,81.299,61.863,61.878,69.649,59.069,70.564,62.197,50.901,67.267,64.822,57.808,78.783,74.646,51.466,66.271,84.347,82.098,73.923,67.645,51,84.93,72.525,56.346,44.848,55.48,70.101,70.958,57.436,50.084,63.976,54.965,75.157,61.493,81.839,55.918,41.387,76.074,68.702,66.336,75.992,46.611,54.358,58.031,56.162,44.841,70.918,65.72,55.305,60.076,82.064,43.983,53.384,62.224,66.477,71.796,85.186,78.69,45.434,50.089,51.785,56.548,75.08,55.756,70.886,57.262,81.916,64.341,67.435,62.573,47.94,70.979,55.617,75.194,77.153,62.279
MCH-017,L,296.87,306.1,1448,47.21,39,0,no_failure,49.621,34.942,31.596,40.017,52.421,69.362,80.848,48.779,83.33,63.795,74.227,48.762,67.537,86.643,69.306,63.303,44.867,55.704,43.774,58.372,51.676,50.974,52.062,51.757,54.046,65.006,56.056,69.052,69.197,71.89,64.74,65.589,55.195,63.77,65.569,43.539,41.412,58.348,46.213,69.581,60.363,54.828,65.756,42.041,60.27,61.003,76.107,68.035,73.028,70.462,56.399,54.418,57.307,49.12,36.615,59.081,48.166,55.643,72.976,69.564,62.552,59.84,65.727,57.587,77.676,58.946,65.196,46.858,38.356,50.533,56.574,51.509,56.041,71.247,50.35,66.941,66.562,75.646,59.413,57.854,72.576,63.466,66.616,69.222,35.681,50.84,55.611,40.163,56.878,57.032,68.093,67.072,67.333,52.071,65.315,32.931,67.692,59.595,63.135,79.857,67.482,63.715
MCH-018,M,300.27,311.55,1667,30.64,115,1,random_failure,25.478,69.54,63.807,53.639,64.051,62.536,73.469,63.098,54.619,80.964,68.235,62.857,57.124,55.699,68.379,66.474,62.39,51.373,66.166,51,65.195,65.39,60.854,65.886,68.662,57.195,55.132,68.812,62.355,64.181,73.802,57.209,65.956,64.77,52.219,49.863,53.415,47.394,60.462,47.881,46.812,56.795,39.915,90.864,61.639,63.188,59.539,64.556,55.179,66.562,56.901,66.367,43.694,52.149,45.881,77.777,72.121,63.276,71.117,63.839,54.054,72.783,53.67,53.91,49.085,69.414,75.663,59.405,64.219,62.745,56.768,56.202,65.114,57.334,56.026,46.372,51.345,65.231,72.349,60.161,50.531,69.559,80.491,67.594,54.233,61.714,55.804,70.118,67.381,70.138,62.596,32.765,53.713,74.212,72.909,73.883,60.297,52.904,83.321,71.052,68.177,47.475
MCH-019,M,293.19,304.4,1441,38.9,0,0,no_failure,41.686,40.826,57.699,91.081,57.855,53.202,61.268,53.433,34.855,62.392,69.406,61.73,73.597,50.311,72.865,63.96,31.819,60.996,45.809,52.311,58.16,72.41,39.044,46.472,54.808,58.207,54.846,59.804,55.64,62.557,77.787,74.437,72.689,39.053,75.524,35.919,43.572,42.743,42.139,60.663,39.184,64.579,53.846,73.151,67.128,67.255,72.788,57.636,53.125,80.756,47.279,58.145,47.689,50.93,41.632,46.373,61.98,35.563,60.805,58.192,58.798,37.326,51.134,70.086,71.237,79.261,45.259,73.286,33.818,52.201,60.376,64.098,55.487,25.42,69.238,47.124,58.102,58.733,69.748,66.65,65.609,51.467,61.854,51.325,38.866,57.218,56.183,40.356,50.619,55.04,43.963,63.194,45.344,73.956,64.934,62.084,72.636,48.441,58.649,76.509,56.004,65.362
MCH-020,L,298.15,313.12,1261,66.35,228,1,overstrain_failure,63.803,59.801,39.646,71.346,57.731,53.593,59.487,70.377,74.54,60.491,56.321,78.634,66.932,70.504,78.138,73.383,59.691,48.171,45.138,56.943,50.348,71.414,58.417,51.341,58.637,59.562,59.464,43.949,91.82,56.836,62.051,74.3,67.483,74.225,54.65,64,44.42,28.715,61.381,72.456,70.812,61.659,49.037,67.792,80.183,57.419,71.397,64.348,95.77,65.693,58.741,64.148,65.526,47.357,64.265,80.105,47.456,78.593,60.858,71.872,68.17,49.308,80.924,64.179,73.987,78.942,73.999,46.67,65.821,54.239,56.097,58.398,56.196,40.537,60.5,51.647,55.913,68.721,86.238,63.814,65.322,75.784,59.11,66.098,55.684,45.941,74.143,52.352,82.797,61.26,55.678,65.079,43.964,77.361,61.07,88.173,49.591,62.074,66.56,62.738,73.949,54.559
MCH-021,H,299.25,309.18,1472,36.13,198,0,no_failure,42.846,71.856,66.594,73.705,68.695,47.104,77.534,57.492,78.998,61.895,70.115,56.808,63.598,53.663,64.16,73.096,37.453,42.056,32.019,45.249,59.818,71.779,42.581,55.377,54.141,44.436,50.304,46.782,61.536,66.926,71.572,65.757,62.42,37.04,44.205,47.76,48.743,46.548,38.941,50.77,62.552,68.403,61.84,69.985,74.217,61.444,74.968,77.419,66.353,68.076,42.845,44.966,52.73,59.34,43.015,45.273,36.291,52.829,80.083,65.158,65.701,67.17,58.268,31.683,55.466,73.419,56.576,47.742,48.82,49.047,32.186,63.151,67.543,49.041,65.535,57.766,64.863,71.081,55.428,62.738,73.81,66.274,63.237,60.069,41.573,44.313,58.159,71.042,41.927,53.533,44.328,46.7,59.638,47.267,68.184,56.375,45.932,65.039,54.369,64.614,57.224,62.023
MCH-022,M,296.65,307.53,1455,39.03,99,0,no_failure,25.951,48.79,61.042,52.895,48.844,62.806,48.632,35.416,42.703,57.146,72.426,69.797,54.848,53.611,60.871,75.601,51.049,49.309,57.171,59.999,34.947,51.525,77.632,71.739,38.527,75.098,63.649,48.888,67.888,54.503,66.5,68.731,72.95,51.235,49.011,44.225,55.795,48.58,66.995,58.716,56.088,51.384,70.611,68.718,68.512,67.625,61.27,77.945,61.19,59.615,42.553,59.706,49.592,54.228,51.634,47.232,68.445,63.787,82.356,63.173,79.567,44.488,63.588,55.886,64.967,69.381,62.347,53.61,57.995,56.036,63.509,42.619,57.917,66.204,65.19,54.742,55.752,54.403,39.698,47.779,56.091,52.787,75.794,66.255,49.167,43.704,44.557,73.092,68.253,50.599,49.912,67.913,55.371,64.856,62.768,58.325,56.654,45.637,57.71,68.556,76.451,58.031
MCH-023,H,297.62,305.77,1116,44.82,7,0,no_failure,60.828,55.784,44.031,50.252,43.908,65.93,70.299,66.777,62.462,64.341,70.848,65.088,54.418,42.457,66.489,76.098,29.437,53.424,41.824,52.245,49.787,62.236,55.408,45.992,55.314,56.103,73.421,63.929,65.751,61.756,65.021,71.359,55.888,62.427,51.867,59.431,51.979,56.781,56.499,66.517,54.259,46.471,57.223,67.933,65.401,36.833,64.423,56.23,63.369,70.466,61.485,55.997,49.764,30.9,43.034,44.409,53.815,53.704,62.865,47.079,71.273,62.935,65.622,68.973,42.105,62.203,57.686,51.459,49.55,34.819,38.987,51.061,64.428,55.113,70.104,68.171,65.384,54.528,68.566,59.43,63.446,63.566,54.421,47.788,51.729,50.338,43.107,62.494,59.635,67.423,55.117,48.281,34.331,61.448,58.464,56.893,68.055,62.307,61.74,59.912,85.196,71.076
MCH-024,L,299.88,309.27,1461,39.19,98,0,no_failure,70.93,48.435,61.378,46.733,71.66,63.736,54.445,42.902,45.133,56.345,56.05,61.241,71.463,85.482,63.786,75.144,58.773,44.955,49.508,52.272,47.687,43.143,48.195,67.121,52.244,57.31,53.181,80.996,56.682,72.252,61.95,64.403,65.63,48.196,48.74,43.038,61.973,54.08,54.019,56.553,70.726,65.974,75.132,68.395,62.59,57.894,30.959,61.536,58.764,63.986,42.245,68.316,39.593,61.518,57.059,59.915,42.794,57.971,65.65,70.962,62.031,54.475,52.955,72.129,73.918,55.268,68.423,57.091,52.081,61.409,58.344,57.21,65.651,58.768,60.785,58.567,50.368,90.713,51.128,64.761,64.791,60.731,42.442,78.617,41.808,34.7,49.67,53.296,56.119,65.037,62.747,68.212,54.669,64.918,49.827,58.689,58.31,50.236,56.31,59.727,56.949,52.955
MCH-025,H,298.4,312.82,1188,57.01,247,1,heat_dissipation_failure,70.932,65.428,67.894,42.815,56.545,54.795,67.153,61.988,56.152,51.294,56.433,75.97,66.383,76.602,73.839,65.387,38.747,58.38,55.58,56.138,54.69,64.387,53.786,61.385,49.046,68.387,65.061,64.729,58.752,61.985,78.791,71.316,78.111,50.194,45.647,45.79,48.963,75.552,42.428,53.559,57.096,53.323,30.96,58.516,60.886,77.209,73.447,68.279,72.975,81.736,58.704,69.341,72.897,75.878,59.14,61.385,60.017,37.914,80.751,63.368,67.003,70.827,54.709,44.546,58.559,81.768,83.356,51.783,60.465,49.992,54.507,64.622,45.805,73.985,62.162,71.088,59.043,63.834,57.976,70.256,74.274,68.089,69.474,73.844,45.888,57.43,61.361,42.062,74.899,61.151,52.959,59.424,59.518,70.73,64.884,63.396,72.064,66.424,55.844,56.195,77.34,59.684
MCH-026,H,295.81,306.7,1702,32.18,33,0,no_failure,60.283,51.568,38.66,54.546,57.731,51.974,65.262,65.98,48.603,52.632,69.669,66.433,67.978,80.771,56.783,68.127,39.616,50.562,47.537,44.155,51.05,58.316,28.736,25.211,65.109,52.032,60.755,64.841,65.865,71.166,61.945,53.964,46.389,56.529,49.161,48.935,51.456,45.071,58.145,42.376,49.547,64.886,68.275,77.567,49.361,64.599,67.465,67.64,69.638,51.035,56.961,44.933,52.485,51.942,49.801,51.005,68.38,50.166,46.396,67.43,57.116,60.745,58.213,65.19,71.23,82.141,61.774,72.11,53.208,62.139,40.323,52.865,49.077,65.954,66.213,56.505,55.549,61.415,82.043,43.555,62.765,47.987,54.011,79.466,57.987,46.285,75.357,40.208,52.159,39.405,49.991,43.675,50.819,60.855,46.974,67.251,62.002,68.719,53.391,54.402,50.59,60.445
MCH-027,L,298.47,310.45,1679,31.58,134,0,no_failure,53.922,56.228,60.808,93.574,64.263,53.719,49.468,62.846,40.087,69.542,53.954,72.99,44.549,85.32,60.195,69.839,42.863,48.425,43.346,54.829,63.224,53.64,31.104,67.414,64.823,55.012,64.067,57.273,83.164,44.012,62.156,79.715,61.103,48.368,54.018,69.584,52.592,60.13,69.519,58.589,68.14,60.607,70.572,65.494,69.007,60.038,39.339,61.712,68.827,68.188,59.394,65.784,39.907,28.165,58.078,54.59,51.283,47.921,66.513,56.926,52.62,78.197,43.915,62.482,68.948,66.878,64.554,60.206,60.848,60.274,55.037,67.815,58.593,50.72,54.858,72.911,67.236,59.783,73.814,39.22,69.104,57.596,66.822,41.9,50.9,71.709,63.575,38.457,65.995,43.764,45.821,48.199,53.839,70.298,53.094,46.016,52.242,60.778,59.31,61.56,70.52,54.179
